"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"IN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.707","","01/01/2013","12/31/2013"
"KS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.492","","01/01/2013","12/31/2013"
"KY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.653","","01/01/2013","12/31/2013"
"LA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.764","","01/01/2013","12/31/2013"
"MA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.468","","01/01/2013","12/31/2013"
"MD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.552","","01/01/2013","12/31/2013"
"ME","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.961","","01/01/2013","12/31/2013"
"MI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.465","","01/01/2013","12/31/2013"
"MN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.468","","01/01/2013","12/31/2013"
"MO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.482","","01/01/2013","12/31/2013"
"MP","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.878","","01/01/2013","12/31/2013"
"MT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.078","","01/01/2013","12/31/2013"
"NC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.567","","01/01/2013","12/31/2013"
"ND","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.549","","01/01/2013","12/31/2013"
"NE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.698","","01/01/2013","12/31/2013"
"NH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.510","","01/01/2013","12/31/2013"
"NJ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.676","","01/01/2013","12/31/2013"
"NM","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.582","","01/01/2013","12/31/2013"
"NV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.658","","01/01/2013","12/31/2013"
"NY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.499","","01/01/2013","12/31/2013"
"OH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.454","","01/01/2013","12/31/2013"
"OK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.492","","01/01/2013","12/31/2013"
"OR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.364","","01/01/2013","12/31/2013"
"PA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.507","","01/01/2013","12/31/2013"
"PR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.994","","01/01/2013","12/31/2013"
"RI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.697","","01/01/2013","12/31/2013"
"SC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.623","","01/01/2013","12/31/2013"
"SD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.355","","01/01/2013","12/31/2013"
"TN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.569","","01/01/2013","12/31/2013"
"TX","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.571","","01/01/2013","12/31/2013"
"UT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.806","","01/01/2013","12/31/2013"
"VA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.546","","01/01/2013","12/31/2013"
"VI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","5.017","","01/01/2013","12/31/2013"
"VT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.495","","01/01/2013","12/31/2013"
"WA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.533","","01/01/2013","12/31/2013"
"WI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.546","","01/01/2013","12/31/2013"
"WV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.499","","01/01/2013","12/31/2013"
"WY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.464","","01/01/2013","12/31/2013"
"AK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.124","","01/01/2013","12/31/2013"
"AL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.517","","01/01/2013","12/31/2013"
"AR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.433","","01/01/2013","12/31/2013"
"AS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.489","","01/01/2013","12/31/2013"
"CA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.447","","01/01/2013","12/31/2013"
"CO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.363","","01/01/2013","12/31/2013"
"CT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.394","","01/01/2013","12/31/2013"
"DC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.430","","01/01/2013","12/31/2013"
"DE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.358","","01/01/2013","12/31/2013"
"FL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.514","","01/01/2013","12/31/2013"
"GA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.652","","01/01/2013","12/31/2013"
"GU","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.320","","01/01/2013","12/31/2013"
"HI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.127","","01/01/2013","12/31/2013"
"IA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.428","","01/01/2013","12/31/2013"
"ID","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.184","","01/01/2013","12/31/2013"
"IL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.396","","01/01/2013","12/31/2013"
"IN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.562","","01/01/2013","12/31/2013"
"KS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.304","","01/01/2013","12/31/2013"
"KY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.488","","01/01/2013","12/31/2013"
"LA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.596","","01/01/2013","12/31/2013"
"MA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.348","","01/01/2013","12/31/2013"
"MD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.405","","01/01/2013","12/31/2013"
"ME","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.463","","01/01/2013","12/31/2013"
"MI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.374","","01/01/2013","12/31/2013"
"MN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.306","","01/01/2013","12/31/2013"
"MO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.364","","01/01/2013","12/31/2013"
"MP","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.640","","01/01/2013","12/31/2013"
"MT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.474","","01/01/2013","12/31/2013"
"NC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.454","","01/01/2013","12/31/2013"
"ND","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.232","","01/01/2013","12/31/2013"
"NE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.409","","01/01/2013","12/31/2013"
"NH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.177","","01/01/2013","12/31/2013"
"NJ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.543","","01/01/2013","12/31/2013"
"NM","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.310","","01/01/2013","12/31/2013"
"NV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.478","","01/01/2013","12/31/2013"
"NY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.424","","01/01/2013","12/31/2013"
"OH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.366","","01/01/2013","12/31/2013"
"OK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.349","","01/01/2013","12/31/2013"
"OR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.204","","01/01/2013","12/31/2013"
"PA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.428","","01/01/2013","12/31/2013"
"PR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.620","","01/01/2013","12/31/2013"
"RI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.340","","01/01/2013","12/31/2013"
"SC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.462","","01/01/2013","12/31/2013"
"SD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.087","","01/01/2013","12/31/2013"
"TN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.453","","01/01/2013","12/31/2013"
"TX","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.502","","01/01/2013","12/31/2013"
"UT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.530","","01/01/2013","12/31/2013"
"VA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.418","","01/01/2013","12/31/2013"
"VI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","1.227","","01/01/2013","12/31/2013"
"VT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.082","","01/01/2013","12/31/2013"
"WA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.381","","01/01/2013","12/31/2013"
"WI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.386","","01/01/2013","12/31/2013"
"WV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.313","","01/01/2013","12/31/2013"
"WY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.242","","01/01/2013","12/31/2013"
"AK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.030","","01/01/2013","12/31/2013"
"AL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.032","","01/01/2013","12/31/2013"
"AR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.087","","01/01/2013","12/31/2013"
"AS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.190","","01/01/2013","12/31/2013"
"CA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.170","","01/01/2013","12/31/2013"
"CO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.849","","01/01/2013","12/31/2013"
"CT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.659","","01/01/2013","12/31/2013"
"DC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.281","","01/01/2013","12/31/2013"
"DE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.489","","01/01/2013","12/31/2013"
"FL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.954","","01/01/2013","12/31/2013"
"GA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.384","","01/01/2013","12/31/2013"
"GU","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","","01/01/2013","12/31/2013"
"HI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.608","","01/01/2013","12/31/2013"
"IA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.991","","01/01/2013","12/31/2013"
"ID","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.149","","01/01/2013","12/31/2013"
"IL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.130","","01/01/2013","12/31/2013"
"IN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.411","","01/01/2013","12/31/2013"
"KS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.144","","01/01/2013","12/31/2013"
"KY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.285","","01/01/2013","12/31/2013"
"LA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.947","","01/01/2013","12/31/2013"
"MA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.781","","01/01/2013","12/31/2013"
"MD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.700","","01/01/2013","12/31/2013"
"ME","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.944","","01/01/2013","12/31/2013"
"MI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.295","","01/01/2013","12/31/2013"
"MN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.410","","01/01/2013","12/31/2013"
"MO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.084","","01/01/2013","12/31/2013"
"MP","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.116","","01/01/2013","12/31/2013"
"MT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.973","","01/01/2013","12/31/2013"
"NC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.206","","01/01/2013","12/31/2013"
"ND","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.760","","01/01/2013","12/31/2013"
"NE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.388","","01/01/2013","12/31/2013"
"NH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.981","","01/01/2013","12/31/2013"
"NJ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.116","","01/01/2013","12/31/2013"
"NM","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.894","","01/01/2013","12/31/2013"
"NV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.202","","01/01/2013","12/31/2013"
"NY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.343","","01/01/2013","12/31/2013"
"OH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.006","","01/01/2013","12/31/2013"
"OK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.820","","01/01/2013","12/31/2013"
"OR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.215","","01/01/2013","12/31/2013"
"PA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.185","","01/01/2013","12/31/2013"
"PR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.830","","01/01/2013","12/31/2013"
"RI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.406","","01/01/2013","12/31/2013"
"SC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.633","","01/01/2013","12/31/2013"
"SD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.937","","01/01/2013","12/31/2013"
"TN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.389","","01/01/2013","12/31/2013"
"TX","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.083","","01/01/2013","12/31/2013"
"UT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.721","","01/01/2013","12/31/2013"
"VA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.182","","01/01/2013","12/31/2013"
"VI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","2.384","","01/01/2013","12/31/2013"
"VT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.840","","01/01/2013","12/31/2013"
"WA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.159","","01/01/2013","12/31/2013"
"WI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.116","","01/01/2013","12/31/2013"
"WV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.637","","01/01/2013","12/31/2013"
"WY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.441","","01/01/2013","12/31/2013"
"AK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.616","","01/01/2013","12/31/2013"
"AL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.118","","01/01/2013","12/31/2013"
"AR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.231","","01/01/2013","12/31/2013"
"AS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.300","","01/01/2013","12/31/2013"
"CA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.218","","01/01/2013","12/31/2013"
"CO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.966","","01/01/2013","12/31/2013"
"CT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.824","","01/01/2013","12/31/2013"
"DC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.510","","01/01/2013","12/31/2013"
"DE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.869","","01/01/2013","12/31/2013"
"FL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.001","","01/01/2013","12/31/2013"
"GA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.473","","01/01/2013","12/31/2013"
"GU","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.840","","01/01/2013","12/31/2013"
"HI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.811","","01/01/2013","12/31/2013"
"IA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.168","","01/01/2013","12/31/2013"
"ID","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.466","","01/01/2013","12/31/2013"
"IL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.208","","01/01/2013","12/31/2013"
"IN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.521","","01/01/2013","12/31/2013"
"KS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.303","","01/01/2013","12/31/2013"
"KY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.403","","01/01/2013","12/31/2013"
"LA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.045","","01/01/2013","12/31/2013"
"MA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.901","","01/01/2013","12/31/2013"
"MD","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.874","","01/01/2013","12/31/2013"
"ME","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","2.366","","01/01/2013","12/31/2013"
