Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"100258","DELRAY MEDICAL CENTER","5352 LINTON BLVD","Delray Beach","FL","33484","PALM BEACH","1.10312","0 out of 10","0 out of 9","0 out of 10"
"440120","TENNOVA HEALTHCARE","900 EAST OAK HILL AVENUE","Knoxville","TN","37917","KNOX","0.98069","1 out of 10","0 out of 9","1 out of 10"
"490069","BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER","8260 ATLEE ROAD","Mechanicsville","VA","23116","HANOVER","0.95743","2 out of 10","1 out of 9","2 out of 10"
"440020","SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI","1265 E COLLEGE ST","Pulaski","TN","38478","GILES","0.93470","3 out of 10","4 out of 9","4 out of 10"
"450634","DENTON REGIONAL MEDICAL CENTER","3535 SOUTH I35 EAST","Denton","TX","76210","DENTON","1.12162","0 out of 10","0 out of 9","0 out of 10"
"450210","ETMC CARTHAGE","409 WEST COTTAGE","Carthage","TX","75633","PANOLA","1.03633","0 out of 10","0 out of 9","0 out of 10"
"440009","CUMBERLAND MEDICAL CENTER","421 S MAIN ST","Crossville","TN","38555","CUMBERLAND","0.95114","2 out of 10","0 out of 9","2 out of 10"
"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","Gilroy","CA","95020","SANTA CLARA","0.98048","1 out of 10","2 out of 9","2 out of 10"
"050590","METHODIST HOSPITAL OF SACRAMENTO","7500 HOSPITAL DRIVE","Sacramento","CA","95823","SACRAMENTO","0.87684","7 out of 10","4 out of 9","7 out of 10"
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","Santa Barbara","CA","93105","SANTA BARBARA","0.98827","0 out of 10","0 out of 9","0 out of 10"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 RIFE MEDICAL LANE","Rogers","AR","72758","BENTON","0.95653","2 out of 10","0 out of 9","2 out of 10"
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","El Paso","TX","79938","EL PASO","0.97262","1 out of 10","2 out of 9","2 out of 10"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","Burlington","MA","01805","MIDDLESEX","1.03296","0 out of 10","0 out of 9","0 out of 10"
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","Bellevue","OH","44811","SANDUSKY","1.06673","0 out of 10","0 out of 9","0 out of 10"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","Youngstown","OH","44512","MAHONING","0.98604","0 out of 10","0 out of 9","0 out of 10"
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","West Allis","WI","53227","MILWAUKEE","1.00224","0 out of 10","0 out of 9","0 out of 10"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","San Francisco","CA","94110","SAN FRANCISCO","0.91519","4 out of 10","0 out of 9","4 out of 10"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","New Brunswick","NJ","08901","MIDDLESEX","1.04631","0 out of 10","0 out of 9","0 out of 10"
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","South El Monte","CA","91733","LOS ANGELES","1.28013","0 out of 10","0 out of 9","0 out of 10"
"440083","JAMESTOWN REGIONAL MEDICAL CENTER","436 CENTRAL AVENUE WEST","Jamestown","TN","38556","FENTRESS","0.95464","2 out of 10","0 out of 9","2 out of 10"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","Dayton","OH","45405","MONTGOMERY","0.99153","0 out of 10","1 out of 9","1 out of 10"
"100047","BAYFRONT HEALTH PUNTA GORDA","809 E MARION AVE","Punta Gorda","FL","33950","CHARLOTTE","1.02238","0 out of 10","0 out of 9","0 out of 10"
"250067","CLAY COUNTY MEDICAL CENTER","835 MEDICAL CENTER DR","West Point","MS","39773","CLAY","0.90173","5 out of 10","6 out of 9","6 out of 10"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","Norwich","CT","06360","NEW LONDON","1.04176","0 out of 10","0 out of 9","0 out of 10"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","Bowling Green","KY","42101","WARREN","1.01307","0 out of 10","2 out of 9","2 out of 10"
"370047","MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST","Ardmore","OK","73401","CARTER","0.96445","2 out of 10","0 out of 9","2 out of 10"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","Reno","NV","89521","CARSON CITY","0.88001","6 out of 10","2 out of 9","6 out of 10"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","Augusta","GA","30904","RICHMOND","1.02657","0 out of 10","0 out of 9","0 out of 10"
"100211","BAYFRONT HEALTH DADE CITY","13100 FT KING RD","Dade City","FL","33525","PASCO","1.00074","0 out of 10","1 out of 9","1 out of 10"
"520138","AURORA ST LUKES MEDICAL CENTER","2900 W OKLAHOMA AVE","Milwaukee","WI","53215","MILWAUKEE","0.96932","1 out of 10","0 out of 9","1 out of 10"
"520078","WHEATON FRANCISCAN HEALTHCARE ST FRANCIS","3237 S 16TH ST","Milwaukee","WI","53215","MILWAUKEE","0.96459","2 out of 10","1 out of 9","2 out of 10"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754-0629","COLUMBIA","1.05349","0 out of 10","0 out of 9","0 out of 10"
"450677","HUGULEY MEMORIAL MEDICAL CENTER","11801 SOUTH FREEWAY","Fort Worth","TX","76115","JOHNSON","1.13016","0 out of 10","0 out of 9","0 out of 10"
"450864","TEXAS SPINE AND JOINT HOSPITAL","1814 ROSELAND BOULEVARD","Tyler","TX","75701","SMITH","0.97430","1 out of 10","0 out of 9","1 out of 10"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","San Francisco","CA","94143","SAN FRANCISCO","0.98469","1 out of 10","0 out of 9","1 out of 10"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","Tarboro","NC","27886","EDGECOMBE","0.96935","1 out of 10","2 out of 9","2 out of 10"
"050236","SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","2975 N SYCAMORE DR","Simi Valley","CA","93065","VENTURA","0.99743","0 out of 10","2 out of 9","2 out of 10"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","Denver","CO","80204","DENVER","0.89263","6 out of 10","1 out of 9","6 out of 10"
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","Bronx","NY","10467","BRONX","0.96900","1 out of 10","0 out of 9","1 out of 10"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.97214","1 out of 10","0 out of 9","1 out of 10"
"390027","TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET","Philadelphia","PA","19140","PHILADELPHIA","0.99718","0 out of 10","0 out of 9","0 out of 10"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","1.03554","0 out of 10","0 out of 9","0 out of 10"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","Carson City","NV","89703","CARSON CITY","0.92949","4 out of 10","0 out of 9","4 out of 10"
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","Albany","NY","12208","ALBANY","0.93410","3 out of 10","0 out of 9","3 out of 10"
"490092","SOUTHAMPTON MEMORIAL HOSPITAL","100 FAIRVIEW DRIVE - PO BOX 817","Franklin","VA","23851","FRANKLIN CITY","0.85891","8 out of 10","0 out of 9","8 out of 10"
"390116","MERCY SUBURBAN HOSPITAL","2701 DEKALB PIKE","Norristown","PA","19401","MONTGOMERY","1.10546","0 out of 10","0 out of 9","0 out of 10"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","1.02547","0 out of 10","0 out of 9","0 out of 10"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","Sebastian","FL","32978","INDIAN RIVER","1.01724","0 out of 10","0 out of 9","0 out of 10"
"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","Idaho Falls","ID","83404","BONNEVILLE","0.94642","3 out of 10","0 out of 9","3 out of 10"
"390067","PINNACLE HEALTH HOSPITALS","409 SOUTH SECOND STREET","Harrisburg","PA","17105","DAUPHIN","1.04497","0 out of 10","1 out of 9","1 out of 10"
"390125","WAYNE MEMORIAL HOSPITAL","601 PARK STREET","Honesdale","PA","18431","WAYNE","1.01920","0 out of 10","0 out of 9","0 out of 10"
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL","5909 HARRY HINES BLVD","Dallas","TX","75235","DALLAS","1.00878","0 out of 10","0 out of 9","0 out of 10"
"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","Honolulu","HI","96813","HONOLULU","0.89024","6 out of 10","3 out of 9","6 out of 10"
"190176","TULANE MEDICAL CENTER","1415 TULANE AVE","New Orleans","LA","70112","ORLEANS","0.95566","2 out of 10","0 out of 9","2 out of 10"
"240022","SANFORD  WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","0.90522","5 out of 10","3 out of 9","5 out of 10"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","1.14508","0 out of 10","0 out of 9","0 out of 10"
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","Livonia","MI","48154","WAYNE","1.01780","0 out of 10","1 out of 9","1 out of 10"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","Brockton","MA","02302","PLYMOUTH","0.98199","1 out of 10","1 out of 9","1 out of 10"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","Three Rivers","MI","49093","ST. JOSEPH","0.94744","3 out of 10","0 out of 9","3 out of 10"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","Alhambra","CA","91801","LOS ANGELES","1.23123","0 out of 10","0 out of 9","0 out of 10"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","1.07260","0 out of 10","0 out of 9","0 out of 10"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","Indianapolis","IN","46260","MARION","1.02980","0 out of 10","0 out of 9","0 out of 10"
"160067","COVENANT MEDICAL CENTER","3421 WEST NINTH STREET","Waterloo","IA","507025401","BLACK HAWK","0.95602","2 out of 10","0 out of 9","2 out of 10"
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","200 HAWKINS DRIVE","Iowa City","IA","52242","JOHNSON","1.01311","0 out of 10","0 out of 9","0 out of 10"
"390217","EXCELA HEALTH FRICK HOSPITAL","508 SOUTH CHURCH STREET","Mount Pleasant","PA","15666","WESTMORELAND","1.03313","0 out of 10","1 out of 9","1 out of 10"
"390203","DOYLESTOWN HOSPITAL","595 WEST STATE ST","Doylestown","PA","18901","BUCKS","0.98364","1 out of 10","0 out of 9","1 out of 10"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","0.95892","2 out of 10","1 out of 9","2 out of 10"
"140113","PRESENCE COVENANT MEDICAL CENTER","1400 WEST PARK AVENUE","Urbana","IL","61801","CHAMPAIGN","0.99092","0 out of 10","0 out of 9","0 out of 10"
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","Junction City","KS","66441","GEARY","0.89977","5 out of 10","1 out of 9","5 out of 10"
"330233","BROOKDALE HOSPITAL MEDICAL CENTER","LINDEN BOULEVARD AT BROOKDALE PLAZA","Brooklyn","NY","11212","KINGS","0.99516","0 out of 10","0 out of 9","0 out of 10"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","1.01284","0 out of 10","1 out of 9","1 out of 10"
"260110","SOUTHEAST MISSOURI HOSPITAL","1701 LACEY ST","Cape Girardeau","MO","63701-5230","CAPE GIRARDEAU","0.94334","3 out of 10","2 out of 9","3 out of 10"
"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","Clearwater","FL","33756","PINELLAS","1.05932","0 out of 10","0 out of 9","0 out of 10"
"140077","TOUCHETTE REGIONAL HOSPITAL INC","5900 BOND AVENUE","Centreville","IL","62207","ST. CLAIR","0.89986","5 out of 10","3 out of 9","5 out of 10"
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET 42","Kalamazoo","MI","49007","KALAMAZOO","0.94962","3 out of 10","0 out of 9","3 out of 10"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","Pensacola","FL","32514","ESCAMBIA","1.00987","0 out of 10","1 out of 9","1 out of 10"
"110035","WELLSTAR KENNESTONE HOSPITAL","677 CHURCH STREET","Marietta","GA","30060","COBB","0.97816","1 out of 10","0 out of 9","1 out of 10"
"190140","FRANKLIN MEDICAL CENTER","2106 LOOP ROAD","Winnsboro","LA","712951300","FRANKLIN","1.15842","0 out of 10","0 out of 9","0 out of 10"
"050568","MADERA COMMUNITY HOSPITAL","1250 E ALMOND AVE","Madera","CA","93637","MADERA","1.05292","0 out of 10","0 out of 9","0 out of 10"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","0.95703","2 out of 10","3 out of 9","3 out of 10"
"220067","QUINCY MEDICAL CENTER","114 WHITWELL STREET","Quincy","MA","02169","NORFOLK","1.07816","0 out of 10","2 out of 9","2 out of 10"
"360361","KINGS DAUGHTERS MEDICAL CENTER OHIO","1901 ARGONNE ROAD","Portsmouth","OH","45662","SCIOTO","1.13375","0 out of 10","Not Available","0 out of 10"
"100253","JUPITER MEDICAL CENTER","1210 S OLD DIXIE HWY","Jupiter","FL","33458","PALM BEACH","1.03430","0 out of 10","0 out of 9","0 out of 10"
"440051","MCNAIRY REGIONAL HOSPITAL","705 E POPLAR AVE","Selmer","TN","38375","MCNAIRY","0.92895","4 out of 10","3 out of 9","4 out of 10"
"370229","INTEGRIS SEMINOLE MEDICAL CENTER","2401 WRANGLER BOULEVARD","Seminole","OK","74868","SEMINOLE","0.98340","1 out of 10","4 out of 9","4 out of 10"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET","Elmer","NJ","08318","SALEM","0.98719","0 out of 10","0 out of 9","0 out of 10"
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","Aurora","CO","80045","ADAMS","0.95607","2 out of 10","0 out of 9","2 out of 10"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","Decatur","GA","30033","DE KALB","1.04157","0 out of 10","0 out of 9","0 out of 10"
"100075","ST JOSEPH'S HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","Tampa","FL","33677","HILLSBOROUGH","1.06520","0 out of 10","0 out of 9","0 out of 10"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536-9210","LACLEDE","0.82226","10 out of 10","9 out of 9","10 out of 10"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","York","PA","17403","YORK","1.04130","0 out of 10","0 out of 9","0 out of 10"
"190114","HOMER MEMORIAL HOSPITAL","620 EAST COLLEGE STREET","Homer","LA","71040","CLAIBORNE","1.31126","0 out of 10","0 out of 9","0 out of 10"
"360355","OHIO VALLEY MEDICAL CENTER, LLC","100 WEST MAIN STREET","Springfield","OH","45502","CLARK","0.97074","1 out of 10","0 out of 9","1 out of 10"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","Gilbert","AZ","85234","MARICOPA","0.98059","1 out of 10","0 out of 9","1 out of 10"
"060096","VAIL VALLEY MEDICAL CENTER","181 W MEADOW DRIVE","Vail","CO","81657","EAGLE","0.97231","1 out of 10","0 out of 9","1 out of 10"
"450874","BAYLOR SURGICAL HOSPITAL AT LAS COLINAS","400 WEST INTERSTATE 635 SUITE 101","Irving","TX","75063","DALLAS","1.14158","0 out of 10","Not Available","0 out of 10"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","0.98787","0 out of 10","0 out of 9","0 out of 10"
"240038","UNITED HOSPITAL","333 NORTH SMITH AVENUE","Saint Paul","MN","55102","RAMSEY","0.95404","2 out of 10","0 out of 9","2 out of 10"
"490045","NOVANT HEALTH PRINCE WILLIAM MEDICAL CENTER","8700 SUDLEY RD","Manassas","VA","20110","MANASSAS CITY","1.01214","0 out of 10","0 out of 9","0 out of 10"
"410005","ST JOSEPH HEALTH SERVICES OF RI","200 HIGH SERVICE AVENUE","North Providence","RI","02904","PROVIDENCE","1.05641","0 out of 10","0 out of 9","0 out of 10"
"260022","NORTHEAST REGIONAL MEDICAL CENTER","315 S OSTEOPATHY","Kirksville","MO","63501-6401","ADAIR","0.93917","3 out of 10","0 out of 9","3 out of 10"
"440010","WAYNE MEDICAL CENTER","103 J V MANGUBAT DR","Waynesboro","TN","38485","WAYNE","0.77219","10 out of 10","0 out of 9","10 out of 10"
"260081","SSM ST CLARE HEALTH CENTER","1015 BOWLES","Fenton","MO","63026","JEFFERSON","0.96279","2 out of 10","0 out of 9","2 out of 10"
"520033","RIVERVIEW HOSPITAL ASSOC","410 DEWEY ST","Wisconsin Rapids","WI","54495","WOOD","0.83130","9 out of 10","8 out of 9","9 out of 10"
