"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"NY","Acute myocardial infarction, discharged alive w/o CC/MCC","1888","","10/01/2013","09/30/2014"
"OH","Acute myocardial infarction, discharged alive w/o CC/MCC","1159","","10/01/2013","09/30/2014"
"OK","Acute myocardial infarction, discharged alive w/o CC/MCC","444","","10/01/2013","09/30/2014"
"OR","Acute myocardial infarction, discharged alive w/o CC/MCC","298","","10/01/2013","09/30/2014"
"PA","Acute myocardial infarction, discharged alive w/o CC/MCC","1368","","10/01/2013","09/30/2014"
"PR","Acute myocardial infarction, discharged alive w/o CC/MCC","392","","10/01/2013","09/30/2014"
"RI","Acute myocardial infarction, discharged alive w/o CC/MCC","116","","10/01/2013","09/30/2014"
"SC","Acute myocardial infarction, discharged alive w/o CC/MCC","575","","10/01/2013","09/30/2014"
"SD","Acute myocardial infarction, discharged alive w/o CC/MCC","91","","10/01/2013","09/30/2014"
"TN","Acute myocardial infarction, discharged alive w/o CC/MCC","813","","10/01/2013","09/30/2014"
"TX","Acute myocardial infarction, discharged alive w/o CC/MCC","1769","","10/01/2013","09/30/2014"
"UT","Acute myocardial infarction, discharged alive w/o CC/MCC","74","","10/01/2013","09/30/2014"
"VA","Acute myocardial infarction, discharged alive w/o CC/MCC","831","","10/01/2013","09/30/2014"
"VI","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"VT","Acute myocardial infarction, discharged alive w/o CC/MCC","62","","10/01/2013","09/30/2014"
"WA","Acute myocardial infarction, discharged alive w/o CC/MCC","498","","10/01/2013","09/30/2014"
"WI","Acute myocardial infarction, discharged alive w/o CC/MCC","418","","10/01/2013","09/30/2014"
"WV","Acute myocardial infarction, discharged alive w/o CC/MCC","367","","10/01/2013","09/30/2014"
"WY","Acute myocardial infarction, discharged alive w/o CC/MCC","45","","10/01/2013","09/30/2014"
"AK","Acute myocardial infarction, discharged alive w MCC","43","","10/01/2013","09/30/2014"
"AL","Acute myocardial infarction, discharged alive w MCC","1181","","10/01/2013","09/30/2014"
"AR","Acute myocardial infarction, discharged alive w MCC","662","","10/01/2013","09/30/2014"
"AZ","Acute myocardial infarction, discharged alive w MCC","833","","10/01/2013","09/30/2014"
"CA","Acute myocardial infarction, discharged alive w MCC","4830","","10/01/2013","09/30/2014"
"CO","Acute myocardial infarction, discharged alive w MCC","350","","10/01/2013","09/30/2014"
"CT","Acute myocardial infarction, discharged alive w MCC","1003","","10/01/2013","09/30/2014"
"DC","Acute myocardial infarction, discharged alive w MCC","179","","10/01/2013","09/30/2014"
"DE","Acute myocardial infarction, discharged alive w MCC","205","","10/01/2013","09/30/2014"
"FL","Acute myocardial infarction, discharged alive w MCC","4649","","10/01/2013","09/30/2014"
"GA","Acute myocardial infarction, discharged alive w MCC","1647","","10/01/2013","09/30/2014"
"GU","Acute myocardial infarction, discharged alive w MCC","32","","10/01/2013","09/30/2014"
"HI","Acute myocardial infarction, discharged alive w MCC","234","","10/01/2013","09/30/2014"
"IA","Acute myocardial infarction, discharged alive w MCC","775","","10/01/2013","09/30/2014"
"ID","Acute myocardial infarction, discharged alive w MCC","134","","10/01/2013","09/30/2014"
"IL","Acute myocardial infarction, discharged alive w MCC","3104","","10/01/2013","09/30/2014"
"IN","Acute myocardial infarction, discharged alive w MCC","1598","","10/01/2013","09/30/2014"
"KS","Acute myocardial infarction, discharged alive w MCC","533","","10/01/2013","09/30/2014"
"KY","Acute myocardial infarction, discharged alive w MCC","1506","","10/01/2013","09/30/2014"
"LA","Acute myocardial infarction, discharged alive w MCC","834","","10/01/2013","09/30/2014"
"MA","Acute myocardial infarction, discharged alive w MCC","1919","","10/01/2013","09/30/2014"
"MD","Acute myocardial infarction, discharged alive w MCC","1106","","10/01/2013","09/30/2014"
"ME","Acute myocardial infarction, discharged alive w MCC","584","","10/01/2013","09/30/2014"
"MI","Acute myocardial infarction, discharged alive w MCC","3285","","10/01/2013","09/30/2014"
"MN","Acute myocardial infarction, discharged alive w MCC","819","","10/01/2013","09/30/2014"
"MO","Acute myocardial infarction, discharged alive w MCC","1395","","10/01/2013","09/30/2014"
"MP","Acute myocardial infarction, discharged alive w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Acute myocardial infarction, discharged alive w MCC","842","","10/01/2013","09/30/2014"
"MT","Acute myocardial infarction, discharged alive w MCC","81","","10/01/2013","09/30/2014"
"NC","Acute myocardial infarction, discharged alive w MCC","2701","","10/01/2013","09/30/2014"
"ND","Acute myocardial infarction, discharged alive w MCC","172","","10/01/2013","09/30/2014"
"NE","Acute myocardial infarction, discharged alive w MCC","268","","10/01/2013","09/30/2014"
"NH","Acute myocardial infarction, discharged alive w MCC","398","","10/01/2013","09/30/2014"
"NJ","Acute myocardial infarction, discharged alive w MCC","2961","","10/01/2013","09/30/2014"
"NM","Acute myocardial infarction, discharged alive w MCC","257","","10/01/2013","09/30/2014"
"NV","Acute myocardial infarction, discharged alive w MCC","363","","10/01/2013","09/30/2014"
"NY","Acute myocardial infarction, discharged alive w MCC","4573","","10/01/2013","09/30/2014"
"OH","Acute myocardial infarction, discharged alive w MCC","2799","","10/01/2013","09/30/2014"
"OK","Acute myocardial infarction, discharged alive w MCC","810","","10/01/2013","09/30/2014"
"OR","Acute myocardial infarction, discharged alive w MCC","528","","10/01/2013","09/30/2014"
"PA","Acute myocardial infarction, discharged alive w MCC","3402","","10/01/2013","09/30/2014"
"PR","Acute myocardial infarction, discharged alive w MCC","278","","10/01/2013","09/30/2014"
"RI","Acute myocardial infarction, discharged alive w MCC","339","","10/01/2013","09/30/2014"
"SC","Acute myocardial infarction, discharged alive w MCC","1135","","10/01/2013","09/30/2014"
"SD","Acute myocardial infarction, discharged alive w MCC","154","","10/01/2013","09/30/2014"
"TN","Acute myocardial infarction, discharged alive w MCC","2105","","10/01/2013","09/30/2014"
"TX","Acute myocardial infarction, discharged alive w MCC","4626","","10/01/2013","09/30/2014"
"UT","Acute myocardial infarction, discharged alive w MCC","124","","10/01/2013","09/30/2014"
"VA","Acute myocardial infarction, discharged alive w MCC","1913","","10/01/2013","09/30/2014"
"VT","Acute myocardial infarction, discharged alive w MCC","131","","10/01/2013","09/30/2014"
"WA","Acute myocardial infarction, discharged alive w MCC","1085","","10/01/2013","09/30/2014"
"WI","Acute myocardial infarction, discharged alive w MCC","958","","10/01/2013","09/30/2014"
"WV","Acute myocardial infarction, discharged alive w MCC","702","","10/01/2013","09/30/2014"
"WY","Acute myocardial infarction, discharged alive w MCC","32","","10/01/2013","09/30/2014"
"AK","Acute myocardial infarction, discharged alive w CC","46","","10/01/2013","09/30/2014"
"AL","Acute myocardial infarction, discharged alive w CC","854","","10/01/2013","09/30/2014"
"AR","Acute myocardial infarction, discharged alive w CC","471","","10/01/2013","09/30/2014"
"AZ","Acute myocardial infarction, discharged alive w CC","656","","10/01/2013","09/30/2014"
"CA","Acute myocardial infarction, discharged alive w CC","3141","","10/01/2013","09/30/2014"
"CO","Acute myocardial infarction, discharged alive w CC","359","","10/01/2013","09/30/2014"
"CT","Acute myocardial infarction, discharged alive w CC","623","","10/01/2013","09/30/2014"
"DC","Acute myocardial infarction, discharged alive w CC","157","","10/01/2013","09/30/2014"
"DE","Acute myocardial infarction, discharged alive w CC","154","","10/01/2013","09/30/2014"
"FL","Acute myocardial infarction, discharged alive w CC","3490","","10/01/2013","09/30/2014"
"GA","Acute myocardial infarction, discharged alive w CC","1203","","10/01/2013","09/30/2014"
"GU","Acute myocardial infarction, discharged alive w CC","22","","10/01/2013","09/30/2014"
"HI","Acute myocardial infarction, discharged alive w CC","199","","10/01/2013","09/30/2014"
"IA","Acute myocardial infarction, discharged alive w CC","506","","10/01/2013","09/30/2014"
"ID","Acute myocardial infarction, discharged alive w CC","134","","10/01/2013","09/30/2014"
"IL","Acute myocardial infarction, discharged alive w CC","1842","","10/01/2013","09/30/2014"
"IN","Acute myocardial infarction, discharged alive w CC","1129","","10/01/2013","09/30/2014"
"KS","Acute myocardial infarction, discharged alive w CC","349","","10/01/2013","09/30/2014"
"KY","Acute myocardial infarction, discharged alive w CC","1063","","10/01/2013","09/30/2014"
"LA","Acute myocardial infarction, discharged alive w CC","632","","10/01/2013","09/30/2014"
"MA","Acute myocardial infarction, discharged alive w CC","1257","","10/01/2013","09/30/2014"
"MD","Acute myocardial infarction, discharged alive w CC","1412","","10/01/2013","09/30/2014"
"ME","Acute myocardial infarction, discharged alive w CC","526","","10/01/2013","09/30/2014"
"MI","Acute myocardial infarction, discharged alive w CC","2122","","10/01/2013","09/30/2014"
"MN","Acute myocardial infarction, discharged alive w CC","676","","10/01/2013","09/30/2014"
"MO","Acute myocardial infarction, discharged alive w CC","920","","10/01/2013","09/30/2014"
"MP","Acute myocardial infarction, discharged alive w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Acute myocardial infarction, discharged alive w CC","556","","10/01/2013","09/30/2014"
"MT","Acute myocardial infarction, discharged alive w CC","89","","10/01/2013","09/30/2014"
"NC","Acute myocardial infarction, discharged alive w CC","1937","","10/01/2013","09/30/2014"
"ND","Acute myocardial infarction, discharged alive w CC","125","","10/01/2013","09/30/2014"
"NE","Acute myocardial infarction, discharged alive w CC","234","","10/01/2013","09/30/2014"
"NH","Acute myocardial infarction, discharged alive w CC","325","","10/01/2013","09/30/2014"
"NJ","Acute myocardial infarction, discharged alive w CC","1814","","10/01/2013","09/30/2014"
"NM","Acute myocardial infarction, discharged alive w CC","189","","10/01/2013","09/30/2014"
"NV","Acute myocardial infarction, discharged alive w CC","263","","10/01/2013","09/30/2014"
"NY","Acute myocardial infarction, discharged alive w CC","2930","","10/01/2013","09/30/2014"
"OH","Acute myocardial infarction, discharged alive w CC","1896","","10/01/2013","09/30/2014"
"OK","Acute myocardial infarction, discharged alive w CC","668","","10/01/2013","09/30/2014"
"OR","Acute myocardial infarction, discharged alive w CC","434","","10/01/2013","09/30/2014"
"PA","Acute myocardial infarction, discharged alive w CC","2323","","10/01/2013","09/30/2014"
"PR","Acute myocardial infarction, discharged alive w CC","223","","10/01/2013","09/30/2014"
"RI","Acute myocardial infarction, discharged alive w CC","207","","10/01/2013","09/30/2014"
"SC","Acute myocardial infarction, discharged alive w CC","767","","10/01/2013","09/30/2014"
"SD","Acute myocardial infarction, discharged alive w CC","142","","10/01/2013","09/30/2014"
"TN","Acute myocardial infarction, discharged alive w CC","1493","","10/01/2013","09/30/2014"
"TX","Acute myocardial infarction, discharged alive w CC","3067","","10/01/2013","09/30/2014"
"UT","Acute myocardial infarction, discharged alive w CC","114","","10/01/2013","09/30/2014"
"VA","Acute myocardial infarction, discharged alive w CC","1425","","10/01/2013","09/30/2014"
"VI","Acute myocardial infarction, discharged alive w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"VT","Acute myocardial infarction, discharged alive w CC","115","","10/01/2013","09/30/2014"
"WA","Acute myocardial infarction, discharged alive w CC","776","","10/01/2013","09/30/2014"
"WI","Acute myocardial infarction, discharged alive w CC","766","","10/01/2013","09/30/2014"
"WV","Acute myocardial infarction, discharged alive w CC","571","","10/01/2013","09/30/2014"
"WY","Acute myocardial infarction, discharged alive w CC","60","","10/01/2013","09/30/2014"
"AK","Heart failure and shock w/o CC/MCC","72","","10/01/2013","09/30/2014"
"AL","Heart failure and shock w/o CC/MCC","1817","","10/01/2013","09/30/2014"
"AR","Heart failure and shock w/o CC/MCC","1355","","10/01/2013","09/30/2014"
"AZ","Heart failure and shock w/o CC/MCC","814","","10/01/2013","09/30/2014"
"CA","Heart failure and shock w/o CC/MCC","4840","","10/01/2013","09/30/2014"
"CO","Heart failure and shock w/o CC/MCC","518","","10/01/2013","09/30/2014"
"CT","Heart failure and shock w/o CC/MCC","994","","10/01/2013","09/30/2014"
"DC","Heart failure and shock w/o CC/MCC","326","","10/01/2013","09/30/2014"
"DE","Heart failure and shock w/o CC/MCC","314","","10/01/2013","09/30/2014"
"FL","Heart failure and shock w/o CC/MCC","5702","","10/01/2013","09/30/2014"
"GA","Heart failure and shock w/o CC/MCC","2202","","10/01/2013","09/30/2014"
"GU","Heart failure and shock w/o CC/MCC","44","","10/01/2013","09/30/2014"
"HI","Heart failure and shock w/o CC/MCC","163","","10/01/2013","09/30/2014"
"IA","Heart failure and shock w/o CC/MCC","747","","10/01/2013","09/30/2014"
"ID","Heart failure and shock w/o CC/MCC","146","","10/01/2013","09/30/2014"
"IL","Heart failure and shock w/o CC/MCC","4275","","10/01/2013","09/30/2014"
"IN","Heart failure and shock w/o CC/MCC","2311","","10/01/2013","09/30/2014"
"KS","Heart failure and shock w/o CC/MCC","729","","10/01/2013","09/30/2014"
"KY","Heart failure and shock w/o CC/MCC","1939","","10/01/2013","09/30/2014"
"LA","Heart failure and shock w/o CC/MCC","1918","","10/01/2013","09/30/2014"
"MA","Heart failure and shock w/o CC/MCC","2005","","10/01/2013","09/30/2014"
"MD","Heart failure and shock w/o CC/MCC","1825","","10/01/2013","09/30/2014"
"ME","Heart failure and shock w/o CC/MCC","298","","10/01/2013","09/30/2014"
"MI","Heart failure and shock w/o CC/MCC","2852","","10/01/2013","09/30/2014"
"MN","Heart failure and shock w/o CC/MCC","1105","","10/01/2013","09/30/2014"
"MO","Heart failure and shock w/o CC/MCC","1845","","10/01/2013","09/30/2014"
"MP","Heart failure and shock w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Heart failure and shock w/o CC/MCC","1538","","10/01/2013","09/30/2014"
"MT","Heart failure and shock w/o CC/MCC","152","","10/01/2013","09/30/2014"
"NC","Heart failure and shock w/o CC/MCC","2593","","10/01/2013","09/30/2014"
"ND","Heart failure and shock w/o CC/MCC","174","","10/01/2013","09/30/2014"
"NE","Heart failure and shock w/o CC/MCC","425","","10/01/2013","09/30/2014"
"NH","Heart failure and shock w/o CC/MCC","268","","10/01/2013","09/30/2014"
"NJ","Heart failure and shock w/o CC/MCC","3167","","10/01/2013","09/30/2014"
"NM","Heart failure and shock w/o CC/MCC","363","","10/01/2013","09/30/2014"
"NV","Heart failure and shock w/o CC/MCC","437","","10/01/2013","09/30/2014"
"NY","Heart failure and shock w/o CC/MCC","5247","","10/01/2013","09/30/2014"
"OH","Heart failure and shock w/o CC/MCC","3376","","10/01/2013","09/30/2014"
"OK","Heart failure and shock w/o CC/MCC","1264","","10/01/2013","09/30/2014"
"OR","Heart failure and shock w/o CC/MCC","496","","10/01/2013","09/30/2014"
"PA","Heart failure and shock w/o CC/MCC","4279","","10/01/2013","09/30/2014"
"PR","Heart failure and shock w/o CC/MCC","510","","10/01/2013","09/30/2014"
"RI","Heart failure and shock w/o CC/MCC","176","","10/01/2013","09/30/2014"
"SC","Heart failure and shock w/o CC/MCC","1443","","10/01/2013","09/30/2014"
"SD","Heart failure and shock w/o CC/MCC","193","","10/01/2013","09/30/2014"
"TN","Heart failure and shock w/o CC/MCC","2137","","10/01/2013","09/30/2014"
"TX","Heart failure and shock w/o CC/MCC","5359","","10/01/2013","09/30/2014"
"UT","Heart failure and shock w/o CC/MCC","253","","10/01/2013","09/30/2014"
"VA","Heart failure and shock w/o CC/MCC","2063","","10/01/2013","09/30/2014"
"VI","Heart failure and shock w/o CC/MCC","46","","10/01/2013","09/30/2014"
"VT","Heart failure and shock w/o CC/MCC","93","","10/01/2013","09/30/2014"
"WA","Heart failure and shock w/o CC/MCC","1007","","10/01/2013","09/30/2014"
"WI","Heart failure and shock w/o CC/MCC","1170","","10/01/2013","09/30/2014"
"WV","Heart failure and shock w/o CC/MCC","821","","10/01/2013","09/30/2014"
"WY","Heart failure and shock w/o CC/MCC","102","","10/01/2013","09/30/2014"
"AK","Heart failure and shock w MCC","140","","10/01/2013","09/30/2014"
"AL","Heart failure and shock w MCC","3742","","10/01/2013","09/30/2014"
"AR","Heart failure and shock w MCC","1888","","10/01/2013","09/30/2014"
"AZ","Heart failure and shock w MCC","2210","","10/01/2013","09/30/2014"
"CA","Heart failure and shock w MCC","14769","","10/01/2013","09/30/2014"
"CO","Heart failure and shock w MCC","1063","","10/01/2013","09/30/2014"
"CT","Heart failure and shock w MCC","2530","","10/01/2013","09/30/2014"
"DC","Heart failure and shock w MCC","548","","10/01/2013","09/30/2014"
"DE","Heart failure and shock w MCC","836","","10/01/2013","09/30/2014"
"FL","Heart failure and shock w MCC","13968","","10/01/2013","09/30/2014"
"GA","Heart failure and shock w MCC","5799","","10/01/2013","09/30/2014"
"GU","Heart failure and shock w MCC","62","","10/01/2013","09/30/2014"
"HI","Heart failure and shock w MCC","383","","10/01/2013","09/30/2014"
"IA","Heart failure and shock w MCC","1624","","10/01/2013","09/30/2014"
"ID","Heart failure and shock w MCC","374","","10/01/2013","09/30/2014"
"IL","Heart failure and shock w MCC","9432","","10/01/2013","09/30/2014"
"IN","Heart failure and shock w MCC","4751","","10/01/2013","09/30/2014"
"KS","Heart failure and shock w MCC","1439","","10/01/2013","09/30/2014"
"KY","Heart failure and shock w MCC","3934","","10/01/2013","09/30/2014"
"LA","Heart failure and shock w MCC","3517","","10/01/2013","09/30/2014"
"MA","Heart failure and shock w MCC","4734","","10/01/2013","09/30/2014"
"MD","Heart failure and shock w MCC","3788","","10/01/2013","09/30/2014"
"ME","Heart failure and shock w MCC","668","","10/01/2013","09/30/2014"
"MI","Heart failure and shock w MCC","8779","","10/01/2013","09/30/2014"
"MN","Heart failure and shock w MCC","1951","","10/01/2013","09/30/2014"
"MO","Heart failure and shock w MCC","4978","","10/01/2013","09/30/2014"
"MP","Heart failure and shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Heart failure and shock w MCC","2709","","10/01/2013","09/30/2014"
"MT","Heart failure and shock w MCC","346","","10/01/2013","09/30/2014"
"NC","Heart failure and shock w MCC","7740","","10/01/2013","09/30/2014"
"ND","Heart failure and shock w MCC","468","","10/01/2013","09/30/2014"
"NE","Heart failure and shock w MCC","714","","10/01/2013","09/30/2014"
"NH","Heart failure and shock w MCC","693","","10/01/2013","09/30/2014"
"NJ","Heart failure and shock w MCC","7027","","10/01/2013","09/30/2014"
"NM","Heart failure and shock w MCC","558","","10/01/2013","09/30/2014"
"NV","Heart failure and shock w MCC","989","","10/01/2013","09/30/2014"
"NY","Heart failure and shock w MCC","10026","","10/01/2013","09/30/2014"
"OH","Heart failure and shock w MCC","8091","","10/01/2013","09/30/2014"
"OK","Heart failure and shock w MCC","1919","","10/01/2013","09/30/2014"
"OR","Heart failure and shock w MCC","1018","","10/01/2013","09/30/2014"
"PA","Heart failure and shock w MCC","8649","","10/01/2013","09/30/2014"
"PR","Heart failure and shock w MCC","574","","10/01/2013","09/30/2014"
"RI","Heart failure and shock w MCC","544","","10/01/2013","09/30/2014"
"SC","Heart failure and shock w MCC","3180","","10/01/2013","09/30/2014"
"SD","Heart failure and shock w MCC","393","","10/01/2013","09/30/2014"
"TN","Heart failure and shock w MCC","4755","","10/01/2013","09/30/2014"
"TX","Heart failure and shock w MCC","13290","","10/01/2013","09/30/2014"
"UT","Heart failure and shock w MCC","416","","10/01/2013","09/30/2014"
"VA","Heart failure and shock w MCC","5835","","10/01/2013","09/30/2014"
"VI","Heart failure and shock w MCC","22","","10/01/2013","09/30/2014"
"VT","Heart failure and shock w MCC","253","","10/01/2013","09/30/2014"
"WA","Heart failure and shock w MCC","2848","","10/01/2013","09/30/2014"
"WI","Heart failure and shock w MCC","2551","","10/01/2013","09/30/2014"
"WV","Heart failure and shock w MCC","1537","","10/01/2013","09/30/2014"
"WY","Heart failure and shock w MCC","151","","10/01/2013","09/30/2014"
"AK","Heart failure and shock w CC","210","","10/01/2013","09/30/2014"
"AL","Heart failure and shock w CC","4322","","10/01/2013","09/30/2014"
"AR","Heart failure and shock w CC","2513","","10/01/2013","09/30/2014"
"AS","Heart failure and shock w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AZ","Heart failure and shock w CC","2397","","10/01/2013","09/30/2014"
"CA","Heart failure and shock w CC","13190","","10/01/2013","09/30/2014"
"CO","Heart failure and shock w CC","1505","","10/01/2013","09/30/2014"
"CT","Heart failure and shock w CC","2719","","10/01/2013","09/30/2014"
"DC","Heart failure and shock w CC","827","","10/01/2013","09/30/2014"
"DE","Heart failure and shock w CC","837","","10/01/2013","09/30/2014"
"FL","Heart failure and shock w CC","14817","","10/01/2013","09/30/2014"
"GA","Heart failure and shock w CC","6186","","10/01/2013","09/30/2014"
"GU","Heart failure and shock w CC","29","","10/01/2013","09/30/2014"
"HI","Heart failure and shock w CC","436","","10/01/2013","09/30/2014"
"IA","Heart failure and shock w CC","1827","","10/01/2013","09/30/2014"
"ID","Heart failure and shock w CC","356","","10/01/2013","09/30/2014"
"IL","Heart failure and shock w CC","10691","","10/01/2013","09/30/2014"
"IN","Heart failure and shock w CC","5625","","10/01/2013","09/30/2014"
"KS","Heart failure and shock w CC","1779","","10/01/2013","09/30/2014"
"KY","Heart failure and shock w CC","4534","","10/01/2013","09/30/2014"
"LA","Heart failure and shock w CC","4180","","10/01/2013","09/30/2014"
"MA","Heart failure and shock w CC","5729","","10/01/2013","09/30/2014"
"MD","Heart failure and shock w CC","4903","","10/01/2013","09/30/2014"
"ME","Heart failure and shock w CC","966","","10/01/2013","09/30/2014"
"MI","Heart failure and shock w CC","8418","","10/01/2013","09/30/2014"
"MN","Heart failure and shock w CC","2901","","10/01/2013","09/30/2014"
"MO","Heart failure and shock w CC","4768","","10/01/2013","09/30/2014"
"MP","Heart failure and shock w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Heart failure and shock w CC","3183","","10/01/2013","09/30/2014"
"MT","Heart failure and shock w CC","393","","10/01/2013","09/30/2014"
"NC","Heart failure and shock w CC","7435","","10/01/2013","09/30/2014"
"ND","Heart failure and shock w CC","446","","10/01/2013","09/30/2014"
"NE","Heart failure and shock w CC","1022","","10/01/2013","09/30/2014"
"NH","Heart failure and shock w CC","855","","10/01/2013","09/30/2014"
"NJ","Heart failure and shock w CC","7832","","10/01/2013","09/30/2014"
"NM","Heart failure and shock w CC","747","","10/01/2013","09/30/2014"
"NV","Heart failure and shock w CC","1029","","10/01/2013","09/30/2014"
"NY","Heart failure and shock w CC","12063","","10/01/2013","09/30/2014"
"OH","Heart failure and shock w CC","8928","","10/01/2013","09/30/2014"
"OK","Heart failure and shock w CC","2989","","10/01/2013","09/30/2014"
"OR","Heart failure and shock w CC","1327","","10/01/2013","09/30/2014"
"PA","Heart failure and shock w CC","10355","","10/01/2013","09/30/2014"
"PR","Heart failure and shock w CC","533","","10/01/2013","09/30/2014"
"RI","Heart failure and shock w CC","738","","10/01/2013","09/30/2014"
"SC","Heart failure and shock w CC","3640","","10/01/2013","09/30/2014"
"SD","Heart failure and shock w CC","552","","10/01/2013","09/30/2014"
"TN","Heart failure and shock w CC","5508","","10/01/2013","09/30/2014"
"TX","Heart failure and shock w CC","13958","","10/01/2013","09/30/2014"
"UT","Heart failure and shock w CC","585","","10/01/2013","09/30/2014"
"VA","Heart failure and shock w CC","5905","","10/01/2013","09/30/2014"
"VI","Heart failure and shock w CC","40","","10/01/2013","09/30/2014"
"VT","Heart failure and shock w CC","327","","10/01/2013","09/30/2014"
"WA","Heart failure and shock w CC","3021","","10/01/2013","09/30/2014"
"WI","Heart failure and shock w CC","3365","","10/01/2013","09/30/2014"
"WV","Heart failure and shock w CC","1938","","10/01/2013","09/30/2014"
"WY","Heart failure and shock w CC","202","","10/01/2013","09/30/2014"
"AK","Chronic obstructive pulmonary disease w/o CC/MCC","134","","10/01/2013","09/30/2014"
"AL","Chronic obstructive pulmonary disease w/o CC/MCC","2802","","10/01/2013","09/30/2014"
"AR","Chronic obstructive pulmonary disease w/o CC/MCC","1497","","10/01/2013","09/30/2014"
"AS","Chronic obstructive pulmonary disease w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
