Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.86047","8 out of 10","8 out of 9","8 out of 10","0.88505","2 out of 10","2 out of 9","2 out of 10","0.89772","7 out of 10","8 out of 9","8 out of 10","0.50381","7 out of 10","8 out of 9","8 out of 10","0.749","0 out of 10","0 out of 9","0 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","0.85899","Not Available","Not Available","Not Available","0.88728","3 out of 10","3 out of 9","3 out of 10","0.89234","5 out of 10","Not Available","5 out of 10","0.46799","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.84763","1 out of 10","3 out of 9","3 out of 10","0.88241","1 out of 10","1 out of 9","1 out of 10","0.89708","7 out of 10","1 out of 9","7 out of 10","0.40524","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","0.84818","Not Available","Not Available","Not Available","0.87739","0 out of 10","0 out of 9","0 out of 10","0.86228","0 out of 10","1 out of 9","1 out of 10","0.53462","5 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.84472","Not Available","Not Available","Not Available","0.88783","4 out of 10","0 out of 9","4 out of 10","0.89043","4 out of 10","5 out of 9","5 out of 10","0.56827","3 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.85733","6 out of 10","7 out of 9","7 out of 10","0.86858","0 out of 10","3 out of 9","3 out of 10","0.86881","0 out of 10","3 out of 9","3 out of 10","0.55417","4 out of 10","3 out of 9","4 out of 10","0.633","0 out of 10","5 out of 9","5 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","0.86305","10 out of 10","9 out of 9","10 out of 10","0.86211","0 out of 10","0 out of 9","0 out of 10","0.85513","0 out of 10","0 out of 9","0 out of 10","0.61588","1 out of 10","4 out of 9","4 out of 10","0.230","5 out of 10","0 out of 9","5 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","Not Available","Not Available","Not Available","Not Available","0.87816","Not Available","Not Available","Not Available","0.87991","0 out of 10","0 out of 9","0 out of 10","0.48502","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","0.85670","Not Available","Not Available","Not Available","0.87278","Not Available","Not Available","Not Available","0.89556","6 out of 10","7 out of 9","7 out of 10","0.46752","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.84676","Not Available","Not Available","Not Available","0.87155","0 out of 10","0 out of 9","0 out of 10","0.90377","9 out of 10","9 out of 9","9 out of 10","0.30133","10 out of 10","9 out of 9","10 out of 10","1.936","0 out of 10","0 out of 9","0 out of 10"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","0.85730","Not Available","Not Available","Not Available","0.88117","Not Available","Not Available","Not Available","0.89333","5 out of 10","Not Available","5 out of 10","0.49743","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.85025","Not Available","Not Available","Not Available","0.87896","0 out of 10","1 out of 9","1 out of 10","0.87492","0 out of 10","2 out of 9","2 out of 10","0.39697","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","0.85394","Not Available","Not Available","Not Available","0.87828","Not Available","Not Available","Not Available","0.88835","3 out of 10","Not Available","3 out of 10","0.49597","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010054","DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","1874 BELTLINE RD SW","Decatur","AL","35601","MORGAN","0.85907","Not Available","Not Available","Not Available","0.88376","2 out of 10","0 out of 9","2 out of 10","0.86981","0 out of 10","0 out of 9","0 out of 10","0.44205","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","0.83409","0 out of 10","0 out of 9","0 out of 10","0.86407","0 out of 10","0 out of 9","0 out of 10","0.91387","10 out of 10","9 out of 9","10 out of 10","0.45117","9 out of 10","0 out of 9","9 out of 10","0.590","0 out of 10","0 out of 9","0 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.85133","3 out of 10","4 out of 9","4 out of 10","0.87181","0 out of 10","0 out of 9","0 out of 10","0.90351","9 out of 10","9 out of 9","9 out of 10","0.43938","10 out of 10","9 out of 9","10 out of 10","0.430","1 out of 10","5 out of 9","5 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.85845","Not Available","Not Available","Not Available","0.87882","Not Available","Not Available","Not Available","0.88757","3 out of 10","0 out of 9","3 out of 10","0.49365","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.84972","Not Available","Not Available","Not Available","0.88173","1 out of 10","2 out of 9","2 out of 10","0.88135","0 out of 10","4 out of 9","4 out of 10","0.51028","6 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.85087","Not Available","Not Available","Not Available","0.87296","Not Available","Not Available","Not Available","0.88881","3 out of 10","4 out of 9","4 out of 10","0.47143","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","Alexander City","AL","35010","TALLAPOOSA","0.86480","Not Available","Not Available","Not Available","0.87656","0 out of 10","0 out of 9","0 out of 10","0.88612","2 out of 10","7 out of 9","7 out of 10","0.60825","1 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","Eufaula","AL","36027","BARBOUR","0.85838","Not Available","Not Available","Not Available","0.88498","2 out of 10","Not Available","2 out of 10","0.88174","0 out of 10","3 out of 9","3 out of 10","0.47229","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","0.85272","Not Available","Not Available","Not Available","0.87468","Not Available","Not Available","Not Available","0.89562","6 out of 10","8 out of 9","8 out of 10","0.49079","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.84058","0 out of 10","0 out of 9","0 out of 10","0.87178","0 out of 10","0 out of 9","0 out of 10","0.90329","9 out of 10","9 out of 9","9 out of 10","0.93155","0 out of 10","0 out of 9","0 out of 10","0.931","0 out of 10","4 out of 9","4 out of 10"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.85771","Not Available","Not Available","Not Available","0.86880","0 out of 10","0 out of 9","0 out of 10","0.87648","0 out of 10","0 out of 9","0 out of 10","0.52004","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.85366","4 out of 10","Not Available","4 out of 10","0.88842","4 out of 10","6 out of 9","6 out of 10","0.86258","0 out of 10","0 out of 9","0 out of 10","0.57554","3 out of 10","2 out of 9","3 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.85869","Not Available","Not Available","Not Available","0.88523","2 out of 10","6 out of 9","6 out of 10","0.87006","0 out of 10","1 out of 9","1 out of 10","0.46495","9 out of 10","8 out of 9","9 out of 10","0.591","0 out of 10","7 out of 9","7 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.85593","Not Available","Not Available","Not Available","0.88486","Not Available","Not Available","Not Available","0.89488","6 out of 10","7 out of 9","7 out of 10","0.50813","6 out of 10","2 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.85624","Not Available","Not Available","Not Available","0.88126","Not Available","Not Available","Not Available","0.87753","Not Available","Not Available","Not Available","0.68163","0 out of 10","0 out of 9","0 out of 10","0.557","0 out of 10","0 out of 9","0 out of 10"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","Jasper","AL","35502","WALKER","0.86892","Not Available","Not Available","Not Available","0.88380","2 out of 10","0 out of 9","2 out of 10","0.88587","2 out of 10","0 out of 9","2 out of 10","0.72903","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.84055","0 out of 10","1 out of 9","1 out of 10","0.86915","0 out of 10","0 out of 9","0 out of 10","0.90137","8 out of 10","0 out of 9","8 out of 10","0.68444","0 out of 10","0 out of 9","0 out of 10","0.192","6 out of 10","2 out of 9","6 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.85546","Not Available","Not Available","Not Available","0.87374","0 out of 10","Not Available","0 out of 10","0.86390","Not Available","Not Available","Not Available","0.49475","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","AL","35401","TUSCALOOSA","0.87849","10 out of 10","9 out of 9","10 out of 10","0.87539","0 out of 10","1 out of 9","1 out of 10","0.88226","0 out of 10","1 out of 9","1 out of 10","0.50692","6 out of 10","5 out of 9","6 out of 10","0.557","0 out of 10","3 out of 9","3 out of 10"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","Wetumpka","AL","36092","ELMORE","Not Available","Not Available","Not Available","Not Available","0.88187","Not Available","Not Available","Not Available","0.88201","Not Available","Not Available","Not Available","0.49832","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","Brewton","AL","36426","ESCAMBIA","0.84906","Not Available","Not Available","Not Available","0.87906","Not Available","Not Available","Not Available","0.87765","0 out of 10","0 out of 9","0 out of 10","0.44827","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","0.84632","0 out of 10","2 out of 9","2 out of 10","0.86462","0 out of 10","0 out of 9","0 out of 10","0.88593","2 out of 10","4 out of 9","4 out of 10","0.85008","0 out of 10","0 out of 9","0 out of 10","0.234","5 out of 10","2 out of 9","5 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.85856","Not Available","Not Available","Not Available","0.87858","0 out of 10","3 out of 9","3 out of 10","0.86809","0 out of 10","Not Available","0 out of 10","0.58527","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","0.82174","0 out of 10","0 out of 9","0 out of 10","0.86421","0 out of 10","0 out of 9","0 out of 10","0.89086","4 out of 10","5 out of 9","5 out of 10","0.76624","0 out of 10","0 out of 9","0 out of 10","0.186","6 out of 10","7 out of 9","7 out of 10"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","Birmingham","AL","35213","JEFFERSON","0.86007","8 out of 10","9 out of 9","9 out of 10","0.87448","0 out of 10","3 out of 9","3 out of 10","0.83015","0 out of 10","0 out of 9","0 out of 10","0.87204","0 out of 10","0 out of 9","0 out of 10","0.345","2 out of 10","0 out of 9","2 out of 10"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","Prattville","AL","36067","AUTAUGA","0.85837","Not Available","Not Available","Not Available","0.88122","0 out of 10","3 out of 9","3 out of 10","0.85356","0 out of 10","0 out of 9","0 out of 10","0.50168","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","Carrollton","AL","35447","PICKENS","0.85717","Not Available","Not Available","Not Available","0.88327","Not Available","Not Available","Not Available","0.86886","0 out of 10","0 out of 9","0 out of 10","0.48125","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","Not Available","Not Available","Not Available","Not Available","0.87996","Not Available","Not Available","Not Available","0.87887","0 out of 10","0 out of 9","0 out of 10","0.46883","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","Mobile","AL","36607","MOBILE","0.85044","2 out of 10","4 out of 9","4 out of 10","0.88370","2 out of 10","0 out of 9","2 out of 10","0.89010","4 out of 10","6 out of 9","6 out of 10","0.61352","1 out of 10","1 out of 9","1 out of 10","0.196","5 out of 10","0 out of 9","5 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","Bessemer","AL","35022","JEFFERSON","0.85819","7 out of 10","4 out of 9","7 out of 10","0.88724","3 out of 10","1 out of 9","3 out of 10","0.88659","2 out of 10","3 out of 9","3 out of 10","0.65537","0 out of 10","6 out of 9","6 out of 10","0.240","5 out of 10","0 out of 9","5 out of 10"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","Selma","AL","36701","DALLAS","0.85061","2 out of 10","0 out of 9","2 out of 10","0.88723","3 out of 10","0 out of 9","3 out of 10","0.89212","4 out of 10","3 out of 9","4 out of 10","0.45630","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","0.85449","Not Available","Not Available","Not Available","0.88662","Not Available","Not Available","Not Available","0.86561","0 out of 10","1 out of 9","1 out of 10","0.55798","4 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","Haleyville","AL","35565","WINSTON","0.85421","Not Available","Not Available","Not Available","0.87381","Not Available","Not Available","Not Available","0.89436","5 out of 10","5 out of 9","5 out of 10","0.47901","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","0.85306","Not Available","Not Available","Not Available","0.86613","Not Available","Not Available","Not Available","0.89292","5 out of 10","5 out of 9","5 out of 10","0.43962","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","Bay Minette","AL","36507","BALDWIN","0.85193","Not Available","Not Available","Not Available","0.87439","Not Available","Not Available","Not Available","0.88423","Not Available","Not Available","Not Available","0.60707","1 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.85795","Not Available","Not Available","Not Available","0.86985","0 out of 10","Not Available","0 out of 10","0.87996","0 out of 10","0 out of 9","0 out of 10","0.48465","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.85164","3 out of 10","4 out of 9","4 out of 10","0.89224","6 out of 10","6 out of 9","6 out of 10","0.86993","0 out of 10","0 out of 9","0 out of 10","0.50716","6 out of 10","8 out of 9","8 out of 10","1.923","0 out of 10","1 out of 9","1 out of 10"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","AL","35209","JEFFERSON","0.85258","4 out of 10","3 out of 9","4 out of 10","0.89331","6 out of 10","6 out of 9","6 out of 10","0.87093","0 out of 10","1 out of 9","1 out of 10","0.45884","9 out of 10","9 out of 9","9 out of 10","0.869","0 out of 10","0 out of 9","0 out of 10"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.84296","0 out of 10","0 out of 9","0 out of 10","0.88594","3 out of 10","0 out of 9","3 out of 10","0.89060","4 out of 10","7 out of 9","7 out of 10","0.60255","1 out of 10","5 out of 9","5 out of 10","0.244","4 out of 10","0 out of 9","4 out of 10"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","Jacksonville","AL","36265","CALHOUN","0.85316","Not Available","Not Available","Not Available","0.88148","Not Available","Not Available","Not Available","0.83747","0 out of 10","0 out of 9","0 out of 10","0.48813","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","0.85691","Not Available","Not Available","Not Available","0.88712","3 out of 10","0 out of 9","3 out of 10","0.87369","Not Available","Not Available","Not Available","0.48774","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.85280","Not Available","Not Available","Not Available","0.89238","6 out of 10","0 out of 9","6 out of 10","0.90012","8 out of 10","7 out of 9","8 out of 10","0.38232","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","Greenville","AL","36037","BUTLER","0.85328","Not Available","Not Available","Not Available","0.88419","Not Available","Not Available","Not Available","0.88667","Not Available","Not Available","Not Available","0.46497","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","Not Available","Not Available","Not Available","Not Available","0.88029","Not Available","Not Available","Not Available","0.87167","0 out of 10","0 out of 9","0 out of 10","0.53822","5 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","0.84946","Not Available","Not Available","Not Available","0.89022","5 out of 10","6 out of 9","6 out of 10","0.88916","3 out of 10","5 out of 9","5 out of 10","0.57752","3 out of 10","1 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","Sylacauga","AL","35150","TALLADEGA","0.85279","Not Available","Not Available","Not Available","0.88402","2 out of 10","5 out of 9","5 out of 10","0.87128","0 out of 10","1 out of 9","1 out of 10","0.62019","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
